lake_id,station_id,country,subset,lake_name,lat_wgs84,lon_wgs84,altitude_m,area_ha,depth_mean_m,depth_max_m,cent_lat_wgs84,cent_lon_wgs84
1,1_1,SE,,Aapuajärvi,66.85586086290844,23.50140857019029,183.8,33.36,,,66.85302805172347,23.504168468286668
2,2_1,SE,,Äcklingen,63.735622119100995,13.01327106897672,400.9,780.83,9.7,51.0,63.75033966153981,12.940130070484743
3,3_1,SE,,Aisjaure,66.05579139715155,17.5401405466885,420.9,24714.97,,,65.98059598883587,17.724906560756857
4,4_1,SE,,Ajaure,65.51011162334447,15.62401490976421,439.0,1561.67,8.9,18.5,65.54447918661404,15.560619771201397
5,5_1,SE,,Åkersjön,63.69644109371924,14.140943080608958,472.9,1188.52,,,63.73229460869139,14.101573231019056
6,6_1,SE,,Akkajaure Suorvajauredelen,67.51683068713908,18.175470086711105,446.4,25830.46,,92.0,67.66406199308139,17.57992767966419
7,7_1,SE,,Allgunnen,56.97983498444792,16.038594852103394,85.1,1310.18,3.5,15.6,57.00974599860387,16.016624559263708
8,8_1,SE,,Allgunnen,57.242073057245,14.585353854278793,205.6,1357.43,7.7,30.4,57.21533545925957,14.611060112770803
9,9_1,SE,,Almesåkrasjön,57.54128334231841,14.603252808506657,306.4,66.72,4.0,8.0,57.55348515676325,14.597347407346549
10,10_1,SE,,Ålsjön,57.64422004983579,16.565952487857277,12.3,291.05,,,57.65509186903282,16.53280731462507
11,11_1,SE,,Alstern,59.71504983495708,13.910676074026425,158.1,879.66,,64.0,59.682954846713415,13.909873186081796
12,12_1,SE,,Amungen,61.05476039886881,15.704750640473748,228.2,6033.75,,,61.147667466148214,15.617719722134863
13,13_1,SE,,Ångesjön,62.51225822270322,15.675368973903836,158.7,280.5,3.3,10.0,62.512817685145905,15.633357055051269
14,14_1,SE,,Anjan,63.68110573181633,12.806915643054639,423.3,2411.03,12.4,56.5,63.70601277239362,12.604168204770145
15,15_1,SE,,Ankarvattnet,64.83628399494773,14.238785168227173,448.7,928.54,,72.0,64.85590236225794,14.224444447484531
16,16_1,SE,,Ånn,63.3142613078973,12.605371304117577,525.9,5710.12,,,63.269404776218316,12.566074149808905
17,17_1,SE,,Anundsjön,63.43199938519801,18.283281934809523,50.6,539.9,9.0,23.0,63.43983434888208,18.215431371220568
18,18_1,SE,,Åresjön,63.33925805446922,13.187659861254616,373.4,637.6,,18.6,63.379624424280934,13.111899237936955
19,19_1,SE,,Arresjaure,65.62270978616323,17.78736075035894,426.7,187.52,,,65.62434331621557,17.76158838603365
20,20_1,SE,,Årsjön,58.74985511957804,15.185392932842669,129.0,207.88,6.7,19.5,58.76133874383022,15.213133820874667
21,21_1,SE,,Askesjön,59.817387107698536,12.009444668882521,121.5,319.84,,22.0,59.83545858429737,11.975701637460519
22,22_1,SE,,Åsnen,56.54304677560633,14.757023731966632,139.0,14679.39,3.1,14.2,56.63047527912207,14.719212024767616
23,23_1,SE,,"Aspan, Lilla",60.52753075293319,15.531572186236287,110.5,80.63,4.9,12.5,60.53571423766218,15.528856492705906
24,24_1,SE,,Aspen,57.75147607520893,12.186741975873701,13.5,464.13,,29.5,57.761890442795064,12.230306900032472
25,25_1,SE,,Aspen,59.22023458456149,17.826959972861506,19.1,140.54,2.0,2.9,59.22781901832873,17.803357694607268
26,26_1,SE,,Assjön,57.80489645085504,14.96740642402849,253.6,476.87,,,57.79680233592692,14.949755731006245
27,27_1,SE,,Atjiken (Silverbergssjön,65.33909442141733,16.09388747190528,504.7,45.76,,,65.34240060131941,16.10059260813675
28,28_1,SE,,Avasjön,64.2798285991418,16.9034231481502,342.9,349.77,,,64.29843825360477,16.88712102383221
29,29_1,SE,,Balungen,60.87853244568524,15.752628080613684,198.8,1106.7,4.6,20.0,60.93029050141498,15.723159283149712
30,30_1,SE,,Bäsingen,60.17028238278792,16.434170739094725,67.8,1267.58,7.7,29.6,60.15055703097009,16.359877289585643
31,31_1,SE,,Bäsksjön,64.73299816635593,17.08674183255882,442.2,374.4,1.2,2.3,64.73029757564741,17.12655912572473
