"","lake_id","station_id","country","subset","lake_name","lat_wgs84","lon_wgs84","altitude_m","area_ha","depth_mean_m","depth_max_m","cent_lat_wgs84","cent_lon_wgs84"
"1",1,"1_1","SE",NA,"Aapuajärvi",66.8558608629084,23.5014085701903,183.8,33.36,NA,NA,66.8530280517235,23.5041684682867
"2",2,"2_1","SE",NA,"Äcklingen",63.735622119101,13.0132710689767,400.9,780.83,9.7,51,63.7503396615398,12.9401300704847
"3",3,"3_1","SE",NA,"Aisjaure",66.0557913971516,17.5401405466885,420.9,24714.97,NA,NA,65.9805959888359,17.7249065607569
"4",4,"4_1","SE",NA,"Ajaure",65.5101116233445,15.6240149097642,439,1561.67,8.9,18.5,65.544479186614,15.5606197712014
"5",5,"5_1","SE",NA,"Åkersjön",63.6964410937192,14.140943080609,472.9,1188.52,NA,NA,63.7322946086914,14.1015732310191
"6",6,"6_1","SE",NA,"Akkajaure Suorvajauredelen",67.5168306871391,18.1754700867111,446.4,25830.46,NA,92,67.6640619930814,17.5799276796642
"7",7,"7_1","SE",NA,"Allgunnen",56.9798349844479,16.0385948521034,85.1,1310.18,3.5,15.6,57.0097459986039,16.0166245592637
"8",8,"8_1","SE",NA,"Allgunnen",57.242073057245,14.5853538542788,205.6,1357.43,7.7,30.4,57.2153354592596,14.6110601127708
"9",9,"9_1","SE",NA,"Almesåkrasjön",57.5412833423184,14.6032528085067,306.4,66.72,4,8,57.5534851567633,14.5973474073465
"10",10,"10_1","SE",NA,"Ålsjön",57.6442200498358,16.5659524878573,12.3,291.05,NA,NA,57.6550918690328,16.5328073146251
"11",11,"11_1","SE",NA,"Alstern",59.7150498349571,13.9106760740264,158.1,879.66,NA,64,59.6829548467134,13.9098731860818
"12",12,"12_1","SE",NA,"Amungen",61.0547603988688,15.7047506404737,228.2,6033.75,NA,NA,61.1476674661482,15.6177197221349
"13",13,"13_1","SE",NA,"Ångesjön",62.5122582227032,15.6753689739038,158.7,280.5,3.3,10,62.5128176851459,15.6333570550513
"14",14,"14_1","SE",NA,"Anjan",63.6811057318163,12.8069156430546,423.3,2411.03,12.4,56.5,63.7060127723936,12.6041682047701
"15",15,"15_1","SE",NA,"Ankarvattnet",64.8362839949477,14.2387851682272,448.7,928.54,NA,72,64.8559023622579,14.2244444474845
"16",16,"16_1","SE",NA,"Ånn",63.3142613078973,12.6053713041176,525.9,5710.12,NA,NA,63.2694047762183,12.5660741498089
"17",17,"17_1","SE",NA,"Anundsjön",63.431999385198,18.2832819348095,50.6,539.9,9,23,63.4398343488821,18.2154313712206
